Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Bank et al.,2019,Bank et al. 2019,Bank et al. 2019,Nesting success and productivity of the Common Barn-owl Tyto alba: Results from a nest box installation and long-term breeding monitoring program in Southern Hungary,Ornis Hungarica,NA,Birdlife International,﻿10.2478/orhu-2019-0001,NA,YES,YES,NO,1995,2018,24,Strigiformes,Tytonidae,Common Barn-owl,Tyto_alba,Tyto_alba,Tyto alba,Tyto_alba,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Baranya country, Southern Hungary","﻿46°04′N, 18°14′E",46.0666670,18.2333330,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,20.19,79.81,0.93,NA,,,,6.84 ± 0.05,6.79,6.89,6.84,0.721707592,5.26875,NA,NA,NA,NA,NA,NA,797,797,5454,5411.63,5491.33,5451.48,4199.19375,NA,NA,5454,4352.8374,0.7981,"""",Percentage of eggs that hatched within each clutch,Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA,"Proportion of egg loss showed significant decline, change of hatching success showed significant slight positive linear trend during the 24 years","Report first and second clutch - only first clutch here as significantly higher than second clutches; doesn't explicitly state cause of egg losses, implies fits our parameters"
Bao et al.,2020,Bao et al. 2020,Bao et al. 2020,"Egg investment strategies adopted by a desertic passerine, the Saxaul Sparrow (Passer ammodendri)",Avian Research,1.215,BMC,﻿10.1186/s40657-020-00201-0,NA,YES,NO,YES,2010,2017,8,Passeriformes,Passeridae,Saxaul Sparrow,Passer_ammodendri,Passer_ammodendri,Passer ammodendri,Passer_ammodendri,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Gansu Province, China","﻿40°21′N, 96°13′E",40.3500000,96.2166670,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,18,82,NA,19.00,,,,5.13 ± 0.89,4.24,6.02,5.13,NA,NA,NA,NA,NA,NA,NA,774,NA,774,NA,3281.76,4659.48,3970.62,NA,NA,NA,3970.62,3255.9084,0.82,NA,NA,NA,Percentage of eggs surviving to the time of hatching that produced a nestling,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,Define hatchability but report results as hatching rate,"Unhatched eggs were defined as those still remaining as egg when the nestlings were processed at 8 days; eggs lost to predation, accidental breakage, unknown factors excluded; states 80.2% of unhatched eggs were unfertilised"
Barri et al.,2009,Barri et al. 2009,Barri et al. 2009,"Reproductive success of wild Lesser Rheas (Pterocnemia-Rhea-pennata pennata) in north-western Patagonia, Argentina",Journal of Ornithology,1.286,Springer,﻿10.1007/s10336-008-0327-5,NA,YES,YES,YES,2004,2006,2,Struthioniformes,Rheidae,Lesser Rhea (Darwin's),Rhea_pennata_pennata/Pterocnemia_pennata_pennata,Rhea_pennata_pennata,Rhea pennata,Rhea_pennata,SUBSPECIES,Not Evaluated (NE),LC,NA,Non-threatened,LC,Not Evaluated,SUBSPECIES,"﻿North-western Patagonia, Argentina","41°07'43''S, 71°15'06''W",-41.1286110,-71.2516670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,25.6,74.4,11.30,NA,,,,﻿20.8 ± 6.4,14.4,27.2,﻿20.8,NA,NA,NA,NA,NA,NA,NA,23,NA,23,479,331.2,625.6,NA,NA,NA,NA,479,356.376,0.744,"""",Percentage of eggs that hatch from the total in a successful nest,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA,,Only includes successful nests 
Bartlett et al.,2005,Bartlett et al. 2005,Bartlett et al. 2005,Division of labor: Incubation and biparental care in House Sparrows (Passer domesticus),The Auk,2.114,Oxford University Press [American Ornithological Society],﻿10.1642/0004-8038(2005)122[0835:doliab]2.0.co;2,NA,YES,YES,NO,2000,2001,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"University of Oklahoma, Norman, Oklahoma, USA",NA,35.2059460,-97.4456920,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,10.6,89.4,NA,15.00,,,,2-6 eggs,2,6,4,0.640150041,4.366666667,NA,47,94,47,47,47,NA,47,NA,94,282,188,205.2333333,NA,NA,188,168.072,0.894,Percentage of eggs within a clutch that did not hatch,"""",Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA,Percentage of eggs within a clutch that did not hatch averages 10.6 ± 15.0% among nests,
Beier & Fontana,2019,Beier & Fontana 2019,Beier & Fontana 2019,Breeding biology of the endangered Yellow Cardinal Gubernatrix cristata in Brazil,Revista Brasileria de Ornitologia,0.387,Sociedade Brasileira de Ornitologia,﻿10.1007/BF03544446,NA,YES,NO,NO,2013,2015,2,Passeriformes,Thraupidae,Yellow Cardinal,Gubernatrix_cristata,Gubernatrix_cristata,Gubernatrix cristata,Gubernatrix_cristata,EN,EN,EN,Threatened,Threatened,NA,,Decreasing,"Barra do Quaraí, Rio Grande do Sul, Brazil",NA,-30.2081550,-57.5528820,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,24,76,NA,25.00,,,,2.95 ± 0.52,2.43,3.47,2.95,NA,NA,NA,NA,NA,NA,NA,14,NA,14,NA,34.02,48.58,41.3,NA,NA,NA,41.3,31.388,0.76,NA,NA,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period [Hatching Rate],NA,NA,[Hatching Rate] Ratio between the number of hatchlings and the number of eggs at hatching,Brood parasitism frequency = 67%,Study reports mean of parasitised (0.73 ± 0.31) and unparasitised (0.8 ± 0.16) hatching rate 
Beissinger et al.,2005,Beissinger et al. 2005,Beissinger et al. 2005,The shelf life of bird eggs: testing egg viability using a tropical climate gradient,Ecology,4.700,Ecological Society of America and John Wiley & Sons,﻿10.1890/04-1624,Experimental manipulation,YES,YES,YES,NA,NA,1,Passeriformes,Mimidae,Pearly-eyed Thrasher,Margarops_fuscatus,Margarops_fuscatus,Margarops fuscatus,Margarops_fuscatus,NA,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Luquillo Experimental Forest, Puerto Rico","﻿18.3°N, 65.3°W",18.3000000,-65.3000000,Wild managed,Managed,Unmanipulated and control,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,15.7,84.3,0.00,0.00,,,,3-4 eggs,3,4,3.5,NA,NA,Control,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,178,150.054,0.843,"""",Percentage of eggs that hatched,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,,Implies only eggs that experienced hatching failure were included
Beissinger et al.,2008,Beissinger et al. 2008,Beissinger et al. 2008,Anatomy of a bottleneck: Diagnosing factors limiting population growth in the Puerto Rican parrot,Ecological Monographs,7.722,Ecological Society of America and John Wiley & Sons,﻿10.1890/07-0018.1,NA,YES,YES,YES,1973,2000,28,Psittaciformes,Psittacidae,Puerto Rican Amazon/Puerto Rican Parrot,Amazona_vittata,Amazona_vittata,Amazona vittata,Amazona_vittata,CR,CR,CR,Threatened,Threatened,NA,,Unknown,"Luquillo Experimental Forest, Puerto Rico",NA,18.2953480,-65.8000430,Wild managed,Managed,,"Nest protection, fostering captive young into wild nests",Natural,No,No,No,Yes,No,Yes,No,No,29.4,70.6,0.10,NA,,,,NA,NA,NA,NA,0.45484486,2.85,NA,34,NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,NA,389,274.634,0.706,Not stated,Not stated,Not stated,"Percentage of eggs that successfully produced chicks excluding eggs lost to predation, accidental breakage, flooding, and abandonment","Percentage/Proportion of eggs that hatched, excluding failure due to desertion, predation, accident, or flooding",NA,~40% unhatched eggs were infertile or EEM,"Egg hatchability rates 70.6% per year an 76.8% per pair, increased after mate changes - inbreeding effects"
Berkunsky et al.,2014,Berkunsky et al. 2014,Berkunsky et al. 2014,Reproductive parameters in the critically endangered blue-throated Macaw: Limits to the recovery of a parrot under intensive management,PLoS ONE,2.740,PLOS,﻿10.1371/journal.pone.0099941,NA,YES,YES,NO,2007,2012,5,Psittaciformes,Psittacidae,Blue-throated Macaw,Ara_glaucogularis,Ara_glaucogularis,Ara glaucogularis,Ara_glaucogularis,CR,CR,CR,Threatened,Threatened,NA,,Stable,"Llanos de Moxos, Beni Department, northern Bolivia",NA,-15.4365370,-65.6872940,Wild managed,Managed,,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,38.88888889,61.11111111,0.00,0.00,,,,2.53 ± 0.10,2.43,2.63,2.53,NA,NA,NA,NA,NA,NA,NA,NA,29,29,72,70.47,76.27,73.37,NA,NA,NA,72,44,0.611111111,"""",Proportion of the eggs at hatching that produced nestlings,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,2/4 unhatched eggs examined contained partially developed embryo; no eggs from second clutches hatched,Hatching failure was the greatest cause of egg losses (28/30 eggs); average clutch size at hatching = 2.10±0.18; numbers and percentages in paper don't appear to add up/make sense - recalculated HS% from text
Berkunsky et al.,2017,Berkunsky et al. 2017,Berkunsky et al. 2017,Reproductive parameters of the Turquoise-fronted Parrot (Amazona aestiva) in the dry Chaco forest,Avian Conservation and Ecology,2.541,The Resilience Alliance,﻿10.5751/ACE-01071-120206,NA,YES,YES,NO,2002,2006,5,Psittaciformes,Psittacidae,Turquoise-fronted Amazon/Blue-fronted Parrot/Turquoise-fronted Parrot,Amazona_aestiva,Amazona_aestiva,Amazona aestiva,Amazona_aestiva,LC,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"Loro Hablador Provincial Park, Chaco Forest, Argentina",﻿25°50'S 61°90'W,-25.4670510,-61.8987070,Wild,Unmanaged,Protected,None,Natural,No,No,No,No,No,No,No,No,27,73,3.00,NA,,,,3.68 ± 0.10,3.58,3.78,3.68,NA,NA,NA,NA,NA,NA,NA,66,NA,66,234.3,236.28,249.48,242.88,NA,NA,NA,234.3,171.039,0.73,"""",Proportion of eggs that produced nestlings,Percentage/Proportion of eggs that hatched,NA,NA,NA,Calculated egg survival as the proportion of laid eggs that completed the incubation period = 0.98 ± 0.01 (n=69 nests); hatching success was not associated with clutch size; hatching failure was the greatest cause of egg losses,Clutch size at hatching = 3.55 ± 0.11 (71 nests)
Bernard-Laurent et al.,2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (01),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,Bird Study,0.952,Taylor and Francis Ltd.,﻿10.1080/00063657.2017.1411463,NA,YES,YES,NO,2012,2016,5,Galliformes,Phasianidae,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca_saxatilis,Alectoris graeca,Alectoris_graeca,SUBSPECIES,Not Evaluated (NE),NT,NA,Non-threatened,NT,Not Evaluated (EEA); Annex I,SUBSPECIES,"Dévoluy massif, southwestern French Alps, France","﻿44°41′N, 5°56′E",44.6833330,5.9333330,Wild,Unmanaged,Male only incubation,None,Natural,No,No,No,No,No,No,No,No,9,91,NA,NA,,,,11.0 ± 1.6,9.4,12.6,11,1.042050203,11.0166665,NA,NA,NA,NA,NA,NA,9,9,NA,84.6,113.4,99,NA,NA,NA,99,90.09,0.91,"""",Proportion of hatched eggs in successful clutches,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,"23 lost nests - egg predation (77%), parent predation (13%), desertion (5%), unknown (5%)",Report 'proportion of eggs hatched in successful clutches' - did not significantly differ between nests incubated by males or females
Bernard-Laurent et al.,2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (02),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,Bird Study,0.952,Taylor and Francis Ltd.,﻿10.1080/00063657.2017.1411463,NA,YES,YES,NO,2012,2016,5,Galliformes,Phasianidae,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca_saxatilis,Alectoris graeca,Alectoris_graeca,SUBSPECIES,Not Evaluated (NE),NT,NA,Non-threatened,NT,Not Evaluated (EEA); Annex I,SUBSPECIES,"Dévoluy massif, southwestern French Alps, France","﻿44°41′N, 5°56′E",44.6833330,5.9333330,Wild,Unmanaged,Female only incubation,None,Natural,No,No,No,No,No,No,No,No,8,92,NA,NA,,,,9.5 ± 1.2,8.3,10.7,9.5,1.042050203,11.0166665,NA,NA,NA,NA,NA,NA,14,14,NA,116.2,149.8,133,NA,NA,NA,133,122.36,0.92,"""",Proportion of hatched eggs in successful clutches,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,"23 lost nests - egg predation (77%), parent predation (13%), desertion (5%), unknown (5%)",Report 'proportion of eggs hatched in successful clutches' - did not significantly differ between nests incubated by males or females
Blevin et al.,2018,Blevin et al. 2018,Blevin et al. 2018,"Organochlorines, perfluoroalkyl substances, mercury, and egg incubation temperature in an Arctic seabird: Insights from data loggers",Environmental Toxicology and Chemistry,3.152,Wiley-Blackwell,﻿10.1002/etc.4250,NA,YES,YES,YES,2015,2015,1,Charadriiformes,Laridae,Black-legged Kittiwake/Arctic Black-legged Kittiwake,Rissa_tridactyla,Rissa_tridactyla,Rissa tridactyla,Rissa_tridactyla,LC,VU,VU,Threatened,Threatened,NA,,Decreasing,"Kongsfjorden, Svalbard","﻿78°54'N, 12°13'E",78.9000000,12.2166670,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,25,75,0.00,0.00,,,,2,2,2,2,0.301753253,2.0033335,One natural egg removed from each nest and replaced with artificial egg,20,NA,NA,NA,20,NA,20,20,40,40,40,40.06667,NA,NA,20,15,0.75,Not stated,Not stated,Not stated,Not stated,Not stated,NA,Possible some eggs classesd as nonviable hatched after monitoring stopped (extended incubation period),"All nests had 2 eggs, 1 removed from each and replaced with artificial eggs. All removed eggs = fertile"
Boessenkool et al.,2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (01),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,1.917,Springer,﻿10.1007/s10592-006-9219-5,This data from Mackintosh (unpub.),YES,YES,NO,2004,2004,1,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand",NA,-41.0919510,174.2742200,Wild,Unmanaged,Translocated,None,Natural,No,No,No,No,No,No,No,No,36.6,63.4,8.70,NA,,2.7,,NA,NA,NA,NA,0.408663874,2.5625,NA,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,43.2,NA,43.2,27.3888,0.634,"Proportion of eggs that failed to hatch relative to those surviving to the end of the incubation period, excluding nests that failed due to predation, desertion or accident","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Higher failure rates in translocated island populations than mainland population - inbreeding depression?,Only nests of which the actual number of eggs and number of nestlings could be determined were included in hatching success analysis
Boessenkool et al.,2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (02),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,1.917,Springer,﻿10.1007/s10592-006-9219-5,NA,YES,YES,NO,2004,2004,1,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Ulva Island, New Zealand",NA,-46.9315340,168.1251760,Wild,Unmanaged,Translocated,None,Natural,No,No,No,No,No,No,No,No,15.6,84.4,7.40,NA,,2.7,,NA,NA,NA,NA,0.408663874,2.5625,NA,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,43.2,NA,43.2,36.4608,0.844,"Proportion of eggs that failed to hatch relative to those surviving to the end of the incubation period, excluding nests that failed due to predation, desertion or accident","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Higher failure rates in translocated island populations than mainland population - inbreeding depression?,Only nests of which the actual number of eggs and number of nestlings could be determined were included in hatching success analysis
Boessenkool et al.,2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (03),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,1.917,Springer,﻿10.1007/s10592-006-9219-5,NA,YES,YES,NO,2004,2004,1,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Eglington Valley (mainland), New Zealand",NA,-45.0600440,167.9964010,Wild,Unmanaged,Source,None,Natural,No,No,No,No,No,No,No,No,4.2,95.8,2.80,NA,,2.7,,NA,NA,NA,NA,0.408663874,2.5625,NA,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,43.2,NA,43.2,41.3856,0.958,"Proportion of eggs that failed to hatch relative to those surviving to the end of the incubation period, excluding nests that failed due to predation, desertion or accident","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Higher failure rates in translocated island populations than mainland population - inbreeding depression?,Only nests of which the actual number of eggs and number of nestlings could be determined were included in hatching success analysis
Boland,2004,Boland 2004,Boland 2004,"Breeding biology of Rainbow Bee-Eaters (Merops ornatus): a migratory, colonial, cooperative bird",The Auk,2.114,Oxford University Press [American Ornithological Society],﻿10.1642/0004-8038(2004)121[0811:bborbm]2.0.co;2,Found in Stewart & Westneat (2013) Appendix 1,YES,YES,NO,1997,2001,5,Coraciiformes,Meropidae,Rainbow Bee-eater,Merops_ornatus,Merops_ornatus,Merops ornatus,Merops_ornatus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Cooloola National Park, southeast Queensland, Australia","﻿26°00’S, 153°02’E",-26.0000000,153.0333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,23.38709677,76.61290323,0.00,0.00,,,,4.49 ± 0.87,3.62,5.36,4.49,0.672867217,4.7083335,NA,NA,NA,NA,NA,138,NA,138,620,499.56,739.68,619.62,649.750023,NA,NA,620,475,0.766129032,Not stated,Not stated,Not stated,NA,NA,NA,,Only included nests that survived until hatching
Bollinger,2020,Bollinger 2020,Bollinger 2020 (01),Incubation onset and hatching asynchrony in Eastern Bluebirds: Consequences for eggs and nestlings,PhD Dissertation,NA,NA,NA,PhD Dissertation - Chapter 1 published as Bollinger et al. (2018),YES,YES,YES,2008,2016,9,Passeriformes,Turdidae,Eastern Bluebird,Sialia_sialis,Sialia_sialis,Sialia sialis,Sialia_sialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Coles County, east-central Illinois, USA","﻿39.6°N, 88.2°W",39.6000000,-88.2000000,Wild managed,Managed,Control,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,4,96,NA,8.00,,,,﻿4.48 ± 0.59 to 4.91 ± 0.56,3.89,5.47,4.695,0.646403726,4.43,Control,NA,NA,NA,NA,NA,144,144,NA,560.16,787.68,676.08,637.92,NA,NA,676.08,649.0368,0.96,"""",Number of eggs hatched/number laid,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,All eggs hatched in 84.8% of the broods (all treatments),Doesn’t explicitly state cause of egg losses - implied only failed eggs
Bollinger,2020,Bollinger 2020,Bollinger 2020 (02),Incubation onset and hatching asynchrony in Eastern Bluebirds: Consequences for eggs and nestlings,PhD Dissertation,NA,NA,NA,PhD Dissertation - Chapter 1 published as Bollinger et al. (2018),YES,YES,YES,2008,2016,5,Passeriformes,Turdidae,Eastern Bluebird,Sialia_sialis,Sialia_sialis,Sialia sialis,Sialia_sialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Coles County, east-central Illinois, USA","﻿39.6°N, 88.2°W",39.6000000,-88.2000000,Wild managed,Managed,Manipulated to hatch synchronously,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,2,98,NA,7.00,,,,﻿4.48 ± 0.59 to 4.91 ± 0.56,3.89,5.47,4.695,0.646403726,4.43,Manipulated to hatch synchronously,NA,NA,NA,NA,NA,106,106,NA,412.34,579.82,497.67,469.58,NA,NA,497.67,487.7166,0.98,"""",Number of eggs hatched/number laid,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,All eggs hatched in 84.8% of the broods (all treatments),Doesn’t explicitly state cause of egg losses - implied only failed eggs
Bollinger,2020,Bollinger 2020,Bollinger 2020 (03),Incubation onset and hatching asynchrony in Eastern Bluebirds: Consequences for eggs and nestlings,PhD Dissertation,NA,NA,NA,PhD Dissertation - Chapter 1 published as Bollinger et al. (2018),YES,YES,YES,2010,2015,3,Passeriformes,Turdidae,Eastern Bluebird,Sialia_sialis,Sialia_sialis,Sialia sialis,Sialia_sialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Coles County, east-central Illinois, USA","﻿39.6°N, 88.2°W",39.6000000,-88.2000000,Wild managed,Managed,Manipulated to hatch asynchronously,Nest boxes,Natural,Yes,No,No,No,No,No,No,No,1,99,NA,95.00,,,,﻿4.48 ± 0.59 to 4.91 ± 0.56,3.89,5.47,4.695,0.646403726,4.43,Manipulated to hatch asynchronously,NA,NA,NA,NA,NA,59,59,NA,229.51,322.73,277.005,261.37,NA,NA,277.005,274.23495,0.99,"""",Number of eggs hatched/number laid,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA,All eggs hatched in 84.8% of the broods (all treatments),Doesn’t explicitly state cause of egg losses - implied only failed eggs
